maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss
gest:PAUSENPOSITION,0,0,100%,0.2,,
fa:A,0,0,100%,0.5,,
fa:AUM,0,0,100%,0.5,,
fa:B,0,0,100%,0.5,,
fa:C,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:D,0,0,100%,0.5,,
fa:E,0,0,100%,0.5,,
fa:F,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:G,0,0,100%,0.5,,
fa:H,0,0,100%,0.5,,
fa:I,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:J,0,0,100%,0.5,,
fa:K,0,0,100%,0.5,,
fa:L,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:M,0,0,100%,0.5,,
fa:N,0,0,100%,0.5,,
fa:O,0,0,100%,0.5,,
fa:OUM,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:P,0,0,100%,0.5,,
fa:Q,0,0,100%,0.5,,
fa:R,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:S,0,0,100%,0.5,,
fa:SCH,0,0,100%,0.5,,
fa:SS,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:T,0,0,100%,0.5,,
fa:U,0,0,100%,0.5,,
fa:UUM,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
fa:V,0,0,100%,0.5,,
fa:W,0,0,100%,0.5,,
fa:X,0,0,100%,0.5,,
fa:Y,0,0,100%,0.5,,
fa:Z,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
gest:PAUSENPOSITION,0,0,100%,0.4,,
