maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss
gest:PAUSENPOSITION,0,0,100%,0.2,,
num:100,0,0,100%,0.5,,
num:200,0,0,100%,0.5,,
num:300,0,0,100%,0.5,,
num:400,0,0,100%,0.5,,
num:500,0,0,100%,0.5,,
num:600,0,0,100%,0.5,,
num:700,0,0,100%,0.5,,
num:800,0,0,100%,0.5,,
num:900,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
num:1k,0,0,100%,0.5,,
num:2k,0,0,100%,0.5,,
num:3k,0,0,100%,0.5,,
num:4k,0,0,100%,0.5,,
num:5k,0,0,100%,0.5,,
num:6k,0,0,100%,0.5,,
num:7k,0,0,100%,0.5,,
num:8k,0,0,100%,0.5,,
num:9k,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
num:10k,0,0,100%,0.5,,
num:MILLION,0,0,100%,0.5,,
<HOLD>,0,0,0.5,0.1,,
gest:PAUSENPOSITION,0,0,100%,0.4,,
